id,nombre,unidad,categoria,tipo,stock_actual
c1200,AGUJA ESPINAL 25 G,un,A,descartables,157
c1693,AGUJA RECTA LANCEOLADA A 201/3,un,A,descartables,0
c1692,AGUJA REDONDA 1/2 CIRCULO G 311/9,un,A,descartables,0
c431,AGUJA TERUMO 25/8,un,A,descartables,600
c1367,ALCOHOL EN GEL,un,A,descartables,8
c435,ALCOHOL IODADO X 1 LT,un,A,descartables,6
c135,ALCOHOL X 1 LITRO,un,A,descartables,231
c121,ALGODON X 500 G,un,A,descartables,62
c292,AMINOACIDO 10% X 500 ML,un,A,descartables,8
c396,AZUL DE METILENO,un,A,descartables,0
c1682,AZUL PATENTE,un,A,descartables,2
c1540,BAJALENGUA ADULTO,un,B,descartables,1100
c1298,BAJALENGUA PEDIATRICO,un,B,descartables,1300
c1248,BARBIJO NK95,un,B,descartables,320
c1454,BARBIJOS C/ELASTICO,un,B,descartables,4055
c10374,BARBIJOS FISELINA,un,B,descartables,2860
c1273,BARBIJOS QX C/TIRAS,un,B,descartables,2025
c10373,BATAS DESCARTABLES,un,B,descartables,382
c441,BATERFLY Nº 19,un,B,descartables,239
c442,BATERFLY Nº 21,un,B,descartables,196
c443,BATERFLY Nº 25,un,B,descartables,65
c436,BISTURI Nº 11,un,B,descartables,588
c437,BISTURI Nº 15,un,B,descartables,711
c438,BISTURI Nº 24,un,B,descartables,911
c439,BOLSA COLECTORA ADULTO,un,B,descartables,0
c440,BOLSA COLECTORA PEDIATRICO,un,B,descartables,36
c1455,BOLSA COLOSTOMIA PEDIATRICA,un,B,descartables,39
